DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2011-01-14	21059979	Shen H	2010-11-08	Arch Intern Med	www.ncbi.nlm.nih.gov/pubmed/21059979	Familial defective apolipoprotein B-100 and increased low-density lipoprotein cholesterol and coronary artery calcification in the old order amish.	LDL cholesterol	841 Amish individuals	663 Amish inidividuals	2p24.1	2	20703255	APOB	C2orf43			60526			rs4971516-?	rs4971516	0	4971516	intron_variant	0	0.06	2E-40	39.69897000433602	(total cholesterol)			Affymetrix [369241]	N
2008-06-16	18193044	Kathiresan S DUP	2008-01-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18193044	Six new loci associated with blood low-density lipoprotein cholesterol, high-density lipoprotein cholesterol or triglycerides in humans.	HDL cholesterol	2,758 individuals	18,544 individuals	1q42.13	1	230159944	GALNT2	GALNT2			2590			rs4846914-G	rs4846914	0	4846914	intron_variant	0	0.40	2E-13	12.698970004336019		0.07	[0.05-0.09] percentage SD decrease	Affymetrix [389878]	N
2008-06-16	18193044	Kathiresan S DUP	2008-01-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18193044	Six new loci associated with blood low-density lipoprotein cholesterol, high-density lipoprotein cholesterol or triglycerides in humans.	HDL cholesterol	2,758 individuals	18,544 individuals	9q31.1	9	104885374	ABCA1	ABCA1			19			rs3890182-A	rs3890182	0	3890182	intron_variant	0	0.13	3E-10	9.522878745280337		0.1	[0.06-0.14] percentage SD decrease	Affymetrix [389878]	N
2008-06-16	18193044	Kathiresan S DUP	2008-01-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18193044	Six new loci associated with blood low-density lipoprotein cholesterol, high-density lipoprotein cholesterol or triglycerides in humans.	HDL cholesterol	2,758 individuals	18,544 individuals	16q13	16	56961324	CETP	HERPUD1 - CETP	9709	1071		17443	599	rs1800775-C	rs1800775	0	1800775	upstream_gene_variant	1	0.51	1E-73	73.0		0.18	[0.16-0.20] percentage SD decrease	Affymetrix [389878]	N
2008-06-16	18193044	Kathiresan S DUP	2008-01-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18193044	Six new loci associated with blood low-density lipoprotein cholesterol, high-density lipoprotein cholesterol or triglycerides in humans.	HDL cholesterol	2,758 individuals	18,544 individuals	15q21.3	15	58431476	LIPC	LOC101928635, LIPC			101928635, 3990			rs1800588-T	rs1800588	0	1800588	intron_variant	0	0.21	2E-32	31.69897000433602		0.14	[0.12-0.16] percentage SD increase	Affymetrix [389878]	N
2008-06-16	18193044	Kathiresan S DUP	2008-01-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18193044	Six new loci associated with blood low-density lipoprotein cholesterol, high-density lipoprotein cholesterol or triglycerides in humans.	HDL cholesterol	2,758 individuals	18,544 individuals	18q21.1	18	49655298	LIPG, ACAA2	LOC105372112			105372112			rs2156552-A	rs2156552	0	2156552	downstream_gene_variant	0	0.18	2E-7	6.698970004336019		0.07	[0.05-0.09] percentage SD decrease	Affymetrix [389878]	N
2008-06-16	18193044	Kathiresan S DUP	2008-01-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18193044	Six new loci associated with blood low-density lipoprotein cholesterol, high-density lipoprotein cholesterol or triglycerides in humans.	HDL cholesterol	2,758 individuals	18,544 individuals	8p21.3	8	19962213	LPL	LPL			4023			rs328-G	rs328	0	328	stop_gained	0	0.09	9E-23	22.045757490560675		0.17	[0.13-0.21] percentage SD increase	Affymetrix [389878]	N
2009-03-31	19260141	Zemunik T	2009-02-01	Croat Med J	www.ncbi.nlm.nih.gov/pubmed/19260141	Genome-wide association study of biochemical traits in Korcula Island, Croatia.	Biochemical measures	898 Korculan individuals	NA	12q21.33	12	91770525	intergenic	LOC105369896 - LOC105369900	105369896	105369900		136701	104778	rs10777332-A	rs10777332	0	10777332	intergenic_variant	1	0.11	5E-6	5.301029995663981	(total cholesterol)	0.24	[0.14-0.34] mmol/L decrease	Illumina [316730]	N
2009-03-31	19260141	Zemunik T	2009-02-01	Croat Med J	www.ncbi.nlm.nih.gov/pubmed/19260141	Genome-wide association study of biochemical traits in Korcula Island, Croatia.	Biochemical measures	898 Korculan individuals	NA	12q24.23	12	117916066	KSR2	KSR2			283455			rs10444502-C	rs10444502	0	10444502	intron_variant	0	0.28	6E-6	5.221848749616356	(total cholesterol)	0.17	[0.10-0.24] mmol/L decrease	Illumina [316730]	N
2009-03-31	19260141	Zemunik T	2009-02-01	Croat Med J	www.ncbi.nlm.nih.gov/pubmed/19260141	Genome-wide association study of biochemical traits in Korcula Island, Croatia.	Biochemical measures	898 Korculan individuals	NA	21q22.3	21	43016067	PKNOX1	PKNOX1			5316			rs2839619-G	rs2839619	0	2839619	intron_variant	0	0.40	8E-6	5.096910013008056	(total cholesterol)	0.13	[0.07-0.19] mmol/L increase	Illumina [316730]	N
2015-01-30	24886709	Ko A	2014-06-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/24886709	Amerindian-specific regions under positive selection harbour new lipid variants in Latinos.	Cholesterol, total	3,701 Mexican ancestry individuals	5,114 Mexican ancestry individuals, 903 Mexican ancestry individuals from 73 dyslipidemic families	16q13	16	56967026	CETP	CETP			1071			rs118146573-A	rs118146573	0	118146573	intron_variant	0	NR	4E-10	9.397940008672037		0.2	[NR] unit decrease	Illumina [1661241] (imputed)	N
2016-10-07	26582766	Lu X	2015-11-18	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/26582766	Genetic Susceptibility to Lipid Levels and Lipid Change Over Time and Risk of Incident Hyperlipidemia in Chinese Populations.	Cholesterol, total	8,344 Han Chinese ancestry individuals	14,739 Han Chinese ancestry individuals	1p32.3	1	55033483	PCSK9	BSND - PCSK9	7809	255738		24691	5993	rs7525649-T	rs7525649	0	7525649	intergenic_variant	1	0.72	2E-10	9.698970004336019		2.212	[1.55-2.88] unit increase	Affymetrix, Illumina [2573667] (imputed)	N
2016-10-07	26582766	Lu X	2015-11-18	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/26582766	Genetic Susceptibility to Lipid Levels and Lipid Change Over Time and Risk of Incident Hyperlipidemia in Chinese Populations.	Cholesterol, total	8,344 Han Chinese ancestry individuals	14,739 Han Chinese ancestry individuals	1p31.3	1	62584148	ANGPTL3	DOCK7			85440			rs12042319-G	rs12042319	0	12042319	3_prime_UTR_variant	0	0.81	5E-8	7.301029995663981		2.229	[1.44-3.02] unit increase	Affymetrix, Illumina [2573667] (imputed)	N
2016-10-07	26582766	Lu X	2015-11-18	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/26582766	Genetic Susceptibility to Lipid Levels and Lipid Change Over Time and Risk of Incident Hyperlipidemia in Chinese Populations.	Cholesterol, total	8,344 Han Chinese ancestry individuals	14,739 Han Chinese ancestry individuals	2p24.1	2	21111411	APOB	APOB - TDRD15	338	100129278		67338	12521	rs312949-C	rs312949	0	312949	intergenic_variant	1	0.28	7E-6	5.154901959985743		1.594	[0.9-2.29] unit increase	Affymetrix, Illumina [2573667] (imputed)	N
2016-10-07	26582766	Lu X	2015-11-18	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/26582766	Genetic Susceptibility to Lipid Levels and Lipid Change Over Time and Risk of Incident Hyperlipidemia in Chinese Populations.	Cholesterol, total	8,344 Han Chinese ancestry individuals	14,739 Han Chinese ancestry individuals	2p23.3	2	27525757	GCKR	GCKR - LOC100420668	2646	100420668		2068	44060	rs1260333-A	rs1260333	0	1260333	downstream_gene_variant	1	0.52	3E-8	7.522878745280337		1.773	[1.15-2.4] unit increase	Affymetrix, Illumina [2573667] (imputed)	N
2016-10-07	26582766	Lu X	2015-11-18	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/26582766	Genetic Susceptibility to Lipid Levels and Lipid Change Over Time and Risk of Incident Hyperlipidemia in Chinese Populations.	Cholesterol, total	8,344 Han Chinese ancestry individuals	14,739 Han Chinese ancestry individuals	5q13.3	5	75308917	HMGCR	ANKRD31 - HMGCR	256006	3156		72020	27417	rs6871667-A	rs6871667	0	6871667	intergenic_variant	1	0.55	8E-12	11.096910013008056		2.214	[1.58-2.85] unit increase	Affymetrix, Illumina [2573667] (imputed)	N
2016-10-07	26582766	Lu X	2015-11-18	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/26582766	Genetic Susceptibility to Lipid Levels and Lipid Change Over Time and Risk of Incident Hyperlipidemia in Chinese Populations.	Cholesterol, total	8,344 Han Chinese ancestry individuals	14,739 Han Chinese ancestry individuals	8q24.13	8	125478730	TRIB1	TRIB1 - LOC105375746	10221	105375746		40325	43701	rs2954029-A	rs2954029	0	2954029	intron_variant	1	0.41	1E-11	11.0		2.218	[1.58-2.85] unit increase	Affymetrix, Illumina [2573667] (imputed)	N
2016-10-07	26582766	Lu X	2015-11-18	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/26582766	Genetic Susceptibility to Lipid Levels and Lipid Change Over Time and Risk of Incident Hyperlipidemia in Chinese Populations.	Cholesterol, total	8,344 Han Chinese ancestry individuals	14,739 Han Chinese ancestry individuals	9q31.1	9	104903458	ABCA1	ABCA1			19			rs2575876-G	rs2575876	0	2575876	intron_variant	0	0.79	1E-16	16.0		3.224	[2.46-3.99] unit increase	Affymetrix, Illumina [2573667] (imputed)	N
2016-10-07	26582766	Lu X	2015-11-18	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/26582766	Genetic Susceptibility to Lipid Levels and Lipid Change Over Time and Risk of Incident Hyperlipidemia in Chinese Populations.	Cholesterol, total	8,344 Han Chinese ancestry individuals	14,739 Han Chinese ancestry individuals	15q21.3	15	58431476	LIPC	LOC101928635, LIPC			101928635, 3990			rs1800588-T	rs1800588	0	1800588	intron_variant	0	0.38	8E-16	15.096910013008056		2.719	[2.07-3.37] unit increase	Affymetrix, Illumina [2573667] (imputed)	N
2016-10-07	26582766	Lu X	2015-11-18	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/26582766	Genetic Susceptibility to Lipid Levels and Lipid Change Over Time and Risk of Incident Hyperlipidemia in Chinese Populations.	Cholesterol, total	8,344 Han Chinese ancestry individuals	14,739 Han Chinese ancestry individuals	16q13	16	56959412	CETP	HERPUD1 - CETP	9709	1071		15531	2511	rs3764261-A	rs3764261	0	3764261	upstream_gene_variant	1	0.17	1E-22	22.0		4.439	[3.56-5.32] unit increase	Affymetrix, Illumina [2573667] (imputed)	N
2016-10-07	26582766	Lu X	2015-11-18	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/26582766	Genetic Susceptibility to Lipid Levels and Lipid Change Over Time and Risk of Incident Hyperlipidemia in Chinese Populations.	Cholesterol, total	8,344 Han Chinese ancestry individuals	14,739 Han Chinese ancestry individuals	16q22.2	16	71991178	HPR	PKD1L3, RPL39P31			342372, 100271525			rs12927205-A	rs12927205	0	12927205	non_coding_transcript_exon_variant	0	0.74	7E-7	6.154901959985743		1.784	[1.07-2.49] unit increase	Affymetrix, Illumina [2573667] (imputed)	N
2016-10-07	26582766	Lu X	2015-11-18	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/26582766	Genetic Susceptibility to Lipid Levels and Lipid Change Over Time and Risk of Incident Hyperlipidemia in Chinese Populations.	Cholesterol, total	8,344 Han Chinese ancestry individuals	14,739 Han Chinese ancestry individuals	17q24.3	17	69142737	ABCA8	ABCA6 - ABCA10	23460	10349		549	5270	rs12453914-A	rs12453914	0	12453914	upstream_gene_variant	1	0.42	2E-6	5.698970004336019		1.237	[0.69-1.78] unit increase	Affymetrix, Illumina [2573667] (imputed)	N
2016-10-07	26582766	Lu X	2015-11-18	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/26582766	Genetic Susceptibility to Lipid Levels and Lipid Change Over Time and Risk of Incident Hyperlipidemia in Chinese Populations.	Cholesterol, total	8,344 Han Chinese ancestry individuals	14,739 Han Chinese ancestry individuals	19p13.2	19	11139463	LDLR	LDLR - SPC24	3949	147841		5633	6031	rs7258950-G	rs7258950	0	7258950	intron_variant	1	0.78	2E-16	15.698970004336019		3.168	[2.42-3.92] unit increase	Affymetrix, Illumina [2573667] (imputed)	N
2016-07-08	25961943	Surakka I	2015-05-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25961943	The impact of low-frequency and rare variants on lipid levels.	Cholesterol, total	up to 62,166 European ancestry individuals	NA	5q13.3	5	75341886	HMGCR	HMGCR			3156			rs10038095-T	rs10038095	0	10038095	intron_variant	0	0.38	3E-43	42.52287874528034		0.083	[0.071-0.095] s.d. increase	Affymetrix, Illumina, Perlegen [up to 9657952] (imputed)	N
2016-07-08	25961943	Surakka I	2015-05-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25961943	The impact of low-frequency and rare variants on lipid levels.	Cholesterol, total	up to 62,166 European ancestry individuals	NA	7p13	7	44544952	NPC1L1	NPC1L1 - DDX56	29881	54606		3302	20465	rs10260606-C	rs10260606	0	10260606	upstream_gene_variant	1	0.23	1E-11	11.0		0.05	[0.036-0.064] s.d. increase	Affymetrix, Illumina, Perlegen [up to 9657952] (imputed)	N
2016-07-08	25961943	Surakka I	2015-05-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25961943	The impact of low-frequency and rare variants on lipid levels.	Cholesterol, total	up to 62,166 European ancestry individuals	NA	2p24.1	2	21009932	APOB	APOB			338			rs1041968-A	rs1041968	0	1041968	synonymous_variant	0	0.48	5E-54	53.30102999566398		0.095	[0.083-0.107] s.d. increase	Affymetrix, Illumina, Perlegen [up to 9657952] (imputed)	N
2016-07-08	25961943	Surakka I	2015-05-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25961943	The impact of low-frequency and rare variants on lipid levels.	Cholesterol, total	up to 62,166 European ancestry individuals	NA	1p22.1	1	92502755	GVI1, EVI5	GFI1 - EVI5	2672	7813		15879	5941	rs11164654-C	rs11164654	0	11164654	intergenic_variant	1	0.79	1E-9	9.0		0.044	[0.03-0.058] s.d. increase	Affymetrix, Illumina, Perlegen [up to 9657952] (imputed)	N
2016-07-08	25961943	Surakka I	2015-05-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25961943	The impact of low-frequency and rare variants on lipid levels.	Cholesterol, total	up to 62,166 European ancestry individuals	NA	1p31.3	1	62583880	ANGPTL3, DOCK7	DOCK7			85440			rs11207995-A	rs11207995	0	11207995	intron_variant	0	0.67	2E-34	33.69897000433602		0.076	[0.064-0.088] s.d. increase	Affymetrix, Illumina, Perlegen [up to 9657952] (imputed)	N
2016-07-08	25961943	Surakka I	2015-05-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25961943	The impact of low-frequency and rare variants on lipid levels.	Cholesterol, total	up to 62,166 European ancestry individuals	NA	19p13.2	19	11078223	LDLR	SMARCA4 - LDLR	6597	3949		15941	11139	rs112374545-C	rs112374545	0	112374545	intergenic_variant	1	0.89	2E-113	112.69897000433602		0.217	[0.2-0.24] s.d. increase	Affymetrix, Illumina, Perlegen [up to 9657952] (imputed)	N
2016-07-08	25961943	Surakka I	2015-05-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25961943	The impact of low-frequency and rare variants on lipid levels.	Cholesterol, total	up to 62,166 European ancestry individuals	NA	10q11.22	10	45512085	MARCH8	MARCH8			220972			rs11239544-T	rs11239544	0	11239544	intron_variant	0	0.27	3E-8	7.522878745280337		0.037	[0.023-0.051] s.d. increase	Affymetrix, Illumina, Perlegen [up to 9657952] (imputed)	N
2016-07-08	25961943	Surakka I	2015-05-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25961943	The impact of low-frequency and rare variants on lipid levels.	Cholesterol, total	up to 62,166 European ancestry individuals	NA	8q24.13	8	125494452	TRIB1	TRIB1 - LOC105375746	10221	105375746		56047	27979	rs112875651-G	rs112875651	0	112875651	intron_variant	1	0.6	1E-38	38.0		0.08	[0.068-0.092] s.d. increase	Affymetrix, Illumina, Perlegen [up to 9657952] (imputed)	N
2016-07-08	25961943	Surakka I	2015-05-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25961943	The impact of low-frequency and rare variants on lipid levels.	Cholesterol, total	up to 62,166 European ancestry individuals	NA	2q33.2	2	202811382	FAM117B	ICA1L			130026			rs115400054-C	rs115400054	0	115400054	intron_variant	0	0.88	5E-9	8.301029995663981		0.054	[0.036-0.072] s.d. increase	Affymetrix, Illumina, Perlegen [up to 9657952] (imputed)	N
2016-07-08	25961943	Surakka I	2015-05-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25961943	The impact of low-frequency and rare variants on lipid levels.	Cholesterol, total	up to 62,166 European ancestry individuals	NA	16q22.2	16	72018449	HP, HPR, DHX38	DHODH			1723			rs11648003-G	rs11648003	0	11648003	intron_variant	0	0.22	3E-23	22.522878745280337		0.07	[0.056-0.084] s.d. increase	Affymetrix, Illumina, Perlegen [up to 9657952] (imputed)	N
2016-07-08	25961943	Surakka I	2015-05-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25961943	The impact of low-frequency and rare variants on lipid levels.	Cholesterol, total	up to 62,166 European ancestry individuals	NA	6q25.3	6	160122116	LPA	SLC22A1			6580			rs12208357-T	rs12208357	0	12208357	missense_variant	0	0.06	9E-14	13.045757490560675		0.092	[0.068-0.116] s.d. increase	Affymetrix, Illumina, Perlegen [up to 9657952] (imputed)	N
2016-07-08	25961943	Surakka I	2015-05-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25961943	The impact of low-frequency and rare variants on lipid levels.	Cholesterol, total	up to 62,166 European ancestry individuals	NA	2p23.3	2	27508073	GCKR	GCKR			2646			rs1260326-T	rs1260326	0	1260326	missense_variant	0	0.36	3E-13	12.522878745280337		0.045	[0.033-0.057] s.d. increase	Affymetrix, Illumina, Perlegen [up to 9657952] (imputed)	N
2016-07-08	25961943	Surakka I	2015-05-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25961943	The impact of low-frequency and rare variants on lipid levels.	Cholesterol, total	up to 62,166 European ancestry individuals	NA	18q21.1	18	49579658	LIPG	LIPG			9388			rs149615216-T	rs149615216	0	149615216	intron_variant	0	0.01	1E-12	12.0		0.229	[0.17-0.29] s.d. increase	Affymetrix, Illumina, Perlegen [up to 9657952] (imputed)	N
2016-07-08	25961943	Surakka I	2015-05-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25961943	The impact of low-frequency and rare variants on lipid levels.	Cholesterol, total	up to 62,166 European ancestry individuals	NA	5q33.3	5	157052312	TIMD4, HAVCR1	HAVCR1			26762			rs1553318-C	rs1553318	0	1553318	intron_variant	0	0.65	2E-21	20.69897000433602		0.058	[0.046-0.07] s.d. increase	Affymetrix, Illumina, Perlegen [up to 9657952] (imputed)	N
2016-07-08	25961943	Surakka I	2015-05-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25961943	The impact of low-frequency and rare variants on lipid levels.	Cholesterol, total	up to 62,166 European ancestry individuals	NA	15q21.3	15	58379566	LIPC	LOC101928635			101928635			rs1601935-G	rs1601935	0	1601935	intron_variant	0	0.36	8E-21	20.096910013008056		0.059	[0.047-0.071] s.d. increase	Affymetrix, Illumina, Perlegen [up to 9657952] (imputed)	N
2016-07-08	25961943	Surakka I	2015-05-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25961943	The impact of low-frequency and rare variants on lipid levels.	Cholesterol, total	up to 62,166 European ancestry individuals	NA	3p25.2	3	12408594	PPARG	PPARG			5468			rs1699337-G	rs1699337	0	1699337	intron_variant	0	0.65	9E-12	11.045757490560675		0.043	[0.031-0.055] s.d. increase	Affymetrix, Illumina, Perlegen [up to 9657952] (imputed)	N
2016-07-08	25961943	Surakka I	2015-05-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25961943	The impact of low-frequency and rare variants on lipid levels.	Cholesterol, total	up to 62,166 European ancestry individuals	NA	11q12.2	11	61811991	FADS1, FADS2, FADS3	FADS1			3992			rs174554-A	rs174554	0	174554	intron_variant	0	0.63	5E-24	23.30102999566398		0.062	[0.05-0.074] s.d. increase	Affymetrix, Illumina, Perlegen [up to 9657952] (imputed)	N
