DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2008-09-12	17903302	Levy D	2007-09-19	BMC Med Genet	www.ncbi.nlm.nih.gov/pubmed/17903302	Framingham Heart Study 100K Project: genome-wide associations for blood pressure and arterial stiffness.	Blood pressure	Up to 1,327 individuals	NA	1p31.3	1	63125458	intergenic	LOC105378769 - LINC00466	105378769	199899		102194	33625	rs10493340-?	rs10493340	0	10493340	intergenic_variant	1	NR	2E-6	5.698970004336019	(SBP)			Affymetrix [70897]	N
2008-09-12	17903302	Levy D	2007-09-19	BMC Med Genet	www.ncbi.nlm.nih.gov/pubmed/17903302	Framingham Heart Study 100K Project: genome-wide associations for blood pressure and arterial stiffness.	Blood pressure	Up to 1,327 individuals	NA	8q21.11	8	72194681	intergenic	LOC105375896			105375896			rs1963982-?	rs1963982	0	1963982	upstream_gene_variant	0	NR	3E-6	5.522878745280337	(DBP)			Affymetrix [70897]	N
2008-09-12	17903302	Levy D	2007-09-19	BMC Med Genet	www.ncbi.nlm.nih.gov/pubmed/17903302	Framingham Heart Study 100K Project: genome-wide associations for blood pressure and arterial stiffness.	Blood pressure	Up to 1,327 individuals	NA	14q24.3	14	76147335	intergenic	IFT43 - GPATCH2L	112752	55668		63262	4550	rs935334-?	rs935334	0	935334	intron_variant	1	NR	3E-6	5.522878745280337	(DBP)			Affymetrix [70897]	N
2008-09-12	17903302	Levy D	2007-09-19	BMC Med Genet	www.ncbi.nlm.nih.gov/pubmed/17903302	Framingham Heart Study 100K Project: genome-wide associations for blood pressure and arterial stiffness.	Blood pressure	Up to 1,327 individuals	NA	3p26.3	3	2613007	CNTN4	CNTN4			152330			rs4370013-?	rs4370013	0	4370013	intron_variant	0	NR	4E-6	5.3979400086720375	(DBP)			Affymetrix [70897]	N
2008-09-12	17903302	Levy D	2007-09-19	BMC Med Genet	www.ncbi.nlm.nih.gov/pubmed/17903302	Framingham Heart Study 100K Project: genome-wide associations for blood pressure and arterial stiffness.	Blood pressure	Up to 1,327 individuals	NA	5q22.1	5	111436706	CAMK4	CAMK4			814			rs10491334-?	rs10491334	0	10491334	intron_variant	0	NR	4E-6	5.3979400086720375	(DBP)			Affymetrix [70897]	N
2008-09-12	17903302	Levy D	2007-09-19	BMC Med Genet	www.ncbi.nlm.nih.gov/pubmed/17903302	Framingham Heart Study 100K Project: genome-wide associations for blood pressure and arterial stiffness.	Blood pressure	Up to 1,327 individuals	NA	14q24.3	14	76184421	C14orf118	GPATCH2L			55668			rs2121070-?	rs2121070	0	2121070	intron_variant	0	NR	5E-6	5.301029995663981	(DBP)			Affymetrix [70897]	N
2008-09-12	17903302	Levy D	2007-09-19	BMC Med Genet	www.ncbi.nlm.nih.gov/pubmed/17903302	Framingham Heart Study 100K Project: genome-wide associations for blood pressure and arterial stiffness.	Blood pressure	Up to 1,327 individuals	NA	6q15	6	87942862	intergenic	LOC105377882			105377882			rs2509458-?	rs2509458	0	2509458	intergenic_variant	0	NR	7E-6	5.154901959985743	(DBP)			Affymetrix [70897]	N
2008-09-12	17903302	Levy D	2007-09-19	BMC Med Genet	www.ncbi.nlm.nih.gov/pubmed/17903302	Framingham Heart Study 100K Project: genome-wide associations for blood pressure and arterial stiffness.	Blood pressure	Up to 1,327 individuals	NA	2q36.3	2	227850659	CCL20, WDR69	CCL20 - TDGF1P2	6364	22816		33095	18511	rs7591163-?	rs7591163	0	7591163	intergenic_variant	1	NR	3E-7	6.522878745280337	(DBPLTA)			Affymetrix [70897]	N
2008-09-12	17903302	Levy D	2007-09-19	BMC Med Genet	www.ncbi.nlm.nih.gov/pubmed/17903302	Framingham Heart Study 100K Project: genome-wide associations for blood pressure and arterial stiffness.	Blood pressure	Up to 1,327 individuals	NA	16q23.3	16	83730599	CDH13	CDH13			1012			rs3096277-?	rs3096277	0	3096277	intron_variant	0	NR	1E-9	9.0	(SBPLTA)			Affymetrix [70897]	N
2009-05-19	19430479	Levy D	2009-05-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19430479	Genome-wide association study of blood pressure and hypertension.	Systolic blood pressure	29,136 European ancestry individuals	34,433 European ancestry individuals	1p36.22	1	10739520	CASZ1	CASZ1			54897			rs12046278-T	rs12046278	0	12046278	intron_variant	0	0.64	5E-6	5.301029995663981		0.53	[0.29-0.77] mm Hg decrease	Affymetrix, Illumina [2533153] (imputed)	N
