DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2011-05-28	21552555	Wang K	2011-04-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/21552555	A genome-wide association study on obesity and obesity-related traits.	Obesity	520 European ancestry cases, 540 European ancestry controls	1,196 European ancestry individuals	16q12.2	16	53779455	FTO	FTO			79068			rs17817449-?	rs17817449	0	17817449	intron_variant	0	NR	2E-12	11.698970004336019	(obesity)			Illumina [~ 550000]	N
2011-05-28	21552555	Wang K	2011-04-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/21552555	A genome-wide association study on obesity and obesity-related traits.	Obesity	520 European ancestry cases, 540 European ancestry controls	1,196 European ancestry individuals	2q31.3	2	180497652	UBE2E3	LOC105373769 - LOC105373770	105373769	105373770		65272	68932	rs16867321-?	rs16867321	0	16867321	intergenic_variant	1	NR	2E-6	5.698970004336019	(obesity)			Illumina [~ 550000]	N
2011-05-28	21552555	Wang K	2011-04-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/21552555	A genome-wide association study on obesity and obesity-related traits.	Obesity	520 European ancestry cases, 540 European ancestry controls	1,196 European ancestry individuals	4q35.2	4	186757712	FAT1, MTNR1A	FAT1 - LOC102723906	2195	102723906		30797	82951	rs925642-?	rs925642	0	925642	regulatory_region_variant	1	NR	7E-6	5.154901959985743	(obesity)			Illumina [~ 550000]	N
2011-05-28	21552555	Wang K	2011-04-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/21552555	A genome-wide association study on obesity and obesity-related traits.	Obesity	520 European ancestry cases, 540 European ancestry controls	1,196 European ancestry individuals	8p22	8	18120141	ASAH1	LOC101929066 - NAT1	101929066	9		22490	50278	rs17126232-?	rs17126232	0	17126232	intergenic_variant	1	NR	4E-7	6.3979400086720375	(BMI)			Illumina [~ 550000]	N
2011-05-28	21552555	Wang K	2011-04-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/21552555	A genome-wide association study on obesity and obesity-related traits.	Obesity	520 European ancestry cases, 540 European ancestry controls	1,196 European ancestry individuals	7q22.2	7	104863366	LHFPL3	LHFPL3			375612			rs10953454-?	rs10953454	0	10953454	intron_variant	0	NR	7E-7	6.154901959985743	(HIP)			Illumina [~ 550000]	N
2011-05-28	21552555	Wang K	2011-04-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/21552555	A genome-wide association study on obesity and obesity-related traits.	Obesity	520 European ancestry cases, 540 European ancestry controls	1,196 European ancestry individuals	8p22	8	18120141	ASAH1	LOC101929066 - NAT1	101929066	9		22490	50278	rs17126232-?	rs17126232	0	17126232	intergenic_variant	1	NR	2E-7	6.698970004336019	(HIP)			Illumina [~ 550000]	N
2011-05-28	21552555	Wang K	2011-04-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/21552555	A genome-wide association study on obesity and obesity-related traits.	Obesity	520 European ancestry cases, 540 European ancestry controls	1,196 European ancestry individuals	16q23.1	16	78918542	WWOX	WWOX			51741			rs9923451-?	rs9923451	0	9923451	intron_variant	0	NR	8E-7	6.096910013008056	(HIP)			Illumina [~ 550000]	N
2011-05-28	21552555	Wang K	2011-04-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/21552555	A genome-wide association study on obesity and obesity-related traits.	Obesity	520 European ancestry cases, 540 European ancestry controls	1,196 European ancestry individuals	22q12.1	22	27982484	PITPNB	TTC28, TTC28-AS1			23331, 284900			rs5762430-?	rs5762430	0	5762430	synonymous_variant	0	NR	7E-7	6.154901959985743	(HIP)			Illumina [~ 550000]	N
2011-05-28	21552555	Wang K	2011-04-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/21552555	A genome-wide association study on obesity and obesity-related traits.	Obesity	520 European ancestry cases, 540 European ancestry controls	1,196 European ancestry individuals	21q21.1	21	21317024	NCAM2	NCAM2			4685			rs11088859-?	rs11088859	0	11088859	intron_variant	0	NR	4E-8	7.3979400086720375	(waist)			Illumina [~ 550000]	N
2011-05-28	21552555	Wang K	2011-04-28	PLoS One	www.ncbi.nlm.nih.gov/pubmed/21552555	A genome-wide association study on obesity and obesity-related traits.	Obesity	520 European ancestry cases, 540 European ancestry controls	1,196 European ancestry individuals	8p22	8	18120141	ASAH1	LOC101929066 - NAT1	101929066	9		22490	50278	rs17126232-?	rs17126232	0	17126232	intergenic_variant	1	NR	8E-8	7.096910013008056	(weight)			Illumina [~ 550000]	N
